Filename,RMSD
1com_0057_pflex_in_flex_0001.pdb,0.3592
1com_0058_pflex_in_flex_0001.pdb,1.2555
1com_0119_pflex_in_flex_0001.pdb,1.7488
1com_0130_pflex_in_flex_0001.pdb,1.9982
1com_0140_pflex_in_flex_0001.pdb,1.001
1com_1_0066_pflex_in_flex_0001.pdb,1.5126
1com_2_0784_pflex_in_flex_0001.pdb,2.9999
1com_3_0594_pflex_in_flex_0001.pdb,2.7501
1com_3_0826_pflex_in_flex_0001.pdb,2.4965
1com_4_0032_pflex_in_flex_0001.pdb,2.2476
1com_5_0055_pflex_in_flex_0001.pdb,3.9528
1com_8_0518_pflex_in_flex_0001.pdb,4.8813	
1com_8_0676_pflex_in_flex_0001.pdb,3.5653
